GeneID	SRR16497780	SRR16497781	SRR16497782	SRR16497783	SRR16497784	SRR16497785
ENSG00000036448	6	10	14	28	7	5
ENSG00000036473	0	6	0	2	0	0
ENSG00000036530	145	15	442	123	222	66
ENSG00000036549	195	298	999	630	381	527
ENSG00000036565	11	14	12	2	3	0
ENSG00000036672	30	27	50	58	30	36
ENSG00000036828	11	13	13	2	5	0
ENSG00000037042	127	116	211	169	99	158
ENSG00000037241	6	38	78	72	44	78
ENSG00000037280	19	29	20	33	24	21
ENSG00000037474	231	302	750	642	540	818
ENSG00000037637	227	187	672	442	276	423
ENSG00000037749	36	91	261	167	81	197
ENSG00000037757	216	109	320	168	257	168
ENSG00000037897	21	39	71	40	44	74
ENSG00000037965	0	6	0	0	0	0
ENSG00000038002	16	78	146	82	54	169
ENSG00000038210	101	33	153	43	81	75
ENSG00000038219	206	427	901	620	374	569
ENSG00000038274	67	112	349	225	113	200
ENSG00000038295	8	18	2	9	2	2
ENSG00000038358	213	503	576	732	407	784
ENSG00000038382	3406	2759	7436	5650	5669	6751
ENSG00000038427	29	346	110	966	37	541
ENSG00000038532	319	461	784	583	435	622
ENSG00000038945	17	26	3	12	4	2
ENSG00000039068	47	7	43	13	21	5
ENSG00000039123	276	419	1245	713	608	787
ENSG00000039139	87	253	218	218	118	537
ENSG00000039319	207	209	585	389	258	305
ENSG00000039523	892	701	1318	978	1110	1046
ENSG00000039537	14	13	7	14	1	1
ENSG00000039560	1471	1517	4732	2884	2459	3283
ENSG00000039600	2	1	1	2	8	0
ENSG00000039650	174	89	271	162	259	201
ENSG00000039987	0	3	2	0	1	3
ENSG00000040199	145	148	496	251	276	387
ENSG00000040275	85	70	285	153	221	215
ENSG00000040341	127	92	476	218	172	190
ENSG00000040487	242	150	469	300	332	341
ENSG00000040531	140	156	437	260	214	306
ENSG00000040608	35	38	143	66	83	72
ENSG00000040633	99	202	410	357	251	455
ENSG00000040731	10	8	0	6	2	0
ENSG00000040933	224	301	710	727	357	536
ENSG00000041353	12	46	16	35	13	34
ENSG00000041357	137	191	862	542	341	611
ENSG00000041515	31	22	107	46	27	8
ENSG00000041802	142	160	368	360	210	453
ENSG00000041880	61	36	127	72	80	73
ENSG00000041982	3240	526	7320	5372	4655	3201
ENSG00000041988	136	123	186	163	151	173
ENSG00000042062	270	76	422	362	314	103
ENSG00000042088	140	107	303	208	210	239
ENSG00000042286	52	53	85	93	39	51
ENSG00000042304	0	4	0	3	0	0
ENSG00000042317	22	58	57	63	12	50
ENSG00000042429	228	147	355	222	213	132
ENSG00000042445	132	199	335	303	190	315
ENSG00000042493	97	538	164	108	168	445
ENSG00000042753	174	403	547	503	337	756
ENSG00000042781	20	44	40	25	12	10
ENSG00000042813	4	7	3	0	2	0
ENSG00000042832	35	33	27	16	13	13
ENSG00000042980	12	13	0	2	5	4
ENSG00000043039	0	4	2	0	0	1
ENSG00000043093	55	119	472	199	138	248
ENSG00000043143	93	569	157	432	99	571
ENSG00000043355	8	1	4	6	0	0
ENSG00000043462	4	7	3	5	2	0
ENSG00000043514	86	94	241	186	132	163
ENSG00000043591	2	0	2	1	0	0
ENSG00000044012	0	0	0	0	0	0
ENSG00000044090	532	1327	1097	716	520	758
ENSG00000044115	1731	3003	6061	4644	3019	5067
ENSG00000044446	132	144	426	182	209	150
ENSG00000044459	84	106	242	114	101	95
ENSG00000044524	752	142	3029	1240	1213	469
ENSG00000044574	2192	3415	9340	10389	3820	9109
ENSG00000046604	22	7	36	9	10	9
ENSG00000046647	18	50	147	96	53	69
ENSG00000046651	100	73	297	203	157	152
ENSG00000046653	594	102	3473	1343	1015	759
ENSG00000046774	0	1	0	0	0	0
ENSG00000046889	236	36	929	323	307	129
ENSG00000047056	115	216	470	330	234	364
ENSG00000047188	196	243	649	319	365	429
ENSG00000047230	123	197	443	230	200	292
ENSG00000047249	226	239	605	468	274	436
ENSG00000047315	336	512	1658	858	644	1117
ENSG00000047346	62	114	235	131	89	128
ENSG00000047365	12	33	27	34	17	7
ENSG00000047410	557	631	2196	1255	1117	1212
ENSG00000047457	17	192	346	313	41	220
ENSG00000047578	281	465	743	467	329	482
ENSG00000047579	53	84	198	140	82	119
ENSG00000047597	0	2	0	4	0	2
ENSG00000047617	19	13	2	20	2	3
ENSG00000047621	30	79	189	179	79	178
ENSG00000047634	11	112	161	119	37	145
ENSG00000047644	586	479	1307	967	886	839
ENSG00000047648	9	141	8	31	3	41
ENSG00000047662	53	32	62	22	31	13
ENSG00000047849	2152	4022	7557	6696	3521	6756
ENSG00000047932	57	255	515	292	191	343
ENSG00000047936	25	19	7	6	13	1
ENSG00000048028	71	104	372	306	149	302
ENSG00000048052	946	187	4535	1131	1545	480
ENSG00000048140	425	494	811	822	583	937
