"","SRR16497780","SRR16497781","SRR16497782","SRR16497783","SRR16497784","SRR16497785"
"ENSG00000133773",7.09211979865795,41.8885930419813,56.8708298137169,52.9700761875181,36.9253912348916,45.0540000526855
"ENSG00000133789",251.061040872492,950.744126922546,373.807225129743,381.384548550131,308.830544873639,943.375592939905
"ENSG00000133794",104.963373020138,69.8143217366355,173.574511827282,146.686364826973,173.437443679036,115.85314299262
"ENSG00000133800",11.3473916778527,0,4.73923581780974,4.88954549423244,2.23790249908434,1.83893877766063
"ENSG00000133805",21.2763593959739,144.706048690481,32.582246247442,44.8208336971307,14.5463662440482,133.323061380396
"ENSG00000133812",354.605989932898,567.400033023201,574.632342909431,492.214246419399,369.253912348916,467.090449525801
"ENSG00000133816",170.210875167791,359.226419117597,263.027587888441,383.829321297247,332.328521114024,809.133062170679
"ENSG00000133818",120.566036577185,196.749452166882,337.078147541718,532.960458871336,337.923277361735,504.788694467844
"ENSG00000133835",531.908984899346,608.01927476088,1031.96859932807,686.16621769062,754.173142191422,727.300286564781
"ENSG00000133858",143.260819932891,269.102476512122,286.131362500263,312.930911630876,211.48178616347,390.774490252885
"ENSG00000133863",32.6237510738266,6.34675652151232,7.70125820394083,5.70446974327118,4.47580499816868,3.67787755532127
"ENSG00000133872",350.350718053703,423.963335637023,876.758626294802,640.53045974445,465.483719809542,635.353347681749
"ENSG00000133874",39.7158708724845,72.3530243452405,40.2835044513828,54.5999246855956,44.7580499816868,65.2823266069525
"ENSG00000133878",14.1842395973159,3.80805391290739,2.36961790890487,5.70446974327118,2.23790249908434,0.919469388830317
"ENSG00000133884",546.093224496662,600.403166935066,517.169108618488,631.566293005024,477.792183554506,622.480776238125
"ENSG00000133895",380.137621208066,394.768255638066,378.546460947553,471.026215944392,518.074428538024,534.211714910414
"ENSG00000133935",131.913428255038,145.975399994783,161.726422282757,205.360910757763,127.560442447807,426.633796417267
"ENSG00000133937",75.1764698657743,82.5078347796602,77.6049865166345,74.9730309115641,97.3487587101687,65.2823266069525
"ENSG00000133943",194.324082483228,410.000471289696,146.323905874876,246.922047458738,147.701564939566,294.230204425701
"ENSG00000133958",39.7158708724845,36.8111878247715,29.0278193840847,52.1551519384794,16.7842687431325,26.6646122760792
"ENSG00000133961",205.671474161081,370.650580856319,260.06556550231,327.599548113574,181.270102425831,439.506367860891
"ENSG00000133962",15.6026635570475,8.88545913011725,1.77721343167865,8.96416673942615,5.59475624771085,0
"ENSG00000133980",28.3684791946318,11.4241617387222,2.36961790890487,0,3.35685374862651,0.919469388830317
"ENSG00000133983",7.09211979865795,20.3096208688394,11.8480895445244,4.88954549423244,6.71370749725302,8.27522449947285
"ENSG00000133985",45.3895667114109,12.6935130430246,46.207549223645,24.4477274711622,46.9959524807711,20.228326554267
"ENSG00000133997",78.0133177852375,68.5449704323331,66.3493014493364,68.4536369192542,49.2338549798555,87.3495919388801
"ENSG00000134001",226.947833557054,307.183015641196,418.829965398936,607.118565533862,445.342597317783,819.247225447812
"ENSG00000134007",31.205327114095,8.88545913011725,5.33164029503596,8.14924249038741,0,3.67787755532127
"ENSG00000134013",2239.69143241618,4094.92730767975,1373.7859826876,2924.76312980004,2161.81381411547,4267.2574335615
"ENSG00000134014",140.423972013427,133.281886951759,273.690868478513,206.99075925584,167.842687431325,266.646122760792
"ENSG00000134028",11.3473916778527,2.53870260860493,0.592404477226218,3.25969699615496,2.23790249908434,0
"ENSG00000134030",432.619307718135,826.347699100904,517.761513095714,1054.51197825613,636.683260989494,967.281797049493
"ENSG00000134042",7.09211979865795,16.501566955932,3.55442686335731,8.14924249038741,2.23790249908434,3.67787755532127
"ENSG00000134046",48.2264146308741,71.083673040938,187.199814803485,145.871440577935,101.824563708337,193.088571654367
"ENSG00000134049",55.318534429532,38.0805391290739,82.3442223344443,66.8237884211767,54.8286112275663,80.9133062170679
"ENSG00000134056",38.2974469127529,19.040269564537,58.0556387681693,35.0417427086659,23.4979762403856,28.5035510537398
"ENSG00000134057",374.46392536914,267.83312520782,520.131131004619,281.963790167404,613.185284749109,719.025062065308
"ENSG00000134058",48.2264146308741,186.594641732462,125.589749171958,88.011818896184,100.705612458795,264.807183983131
"ENSG00000134061",8.51054375838954,10.1548104344197,1.77721343167865,1.62984849807748,0,0
"ENSG00000134070",300.705879463097,104.086806952802,184.237792417354,135.277425340431,212.600737413012,105.738979715486
"ENSG00000134072",28.3684791946318,19.040269564537,36.1366731107993,26.8925002182784,33.5685374862651,23.9062041095882
"ENSG00000134077",170.210875167791,224.675180861536,228.66812820932,317.820457125109,201.41122491759,330.089510590084
"ENSG00000134086",1462.39510248327,619.443436499603,603.660162293516,519.106746637678,932.086390868627,526.855959799772
"ENSG00000134107",295.032183624171,262.75571999061,367.883180357481,729.357202889673,340.161179860819,651.903796680695
"ENSG00000134108",226.947833557054,366.842526943412,552.713377252061,523.181367882872,412.89301108106,704.313551844023
"ENSG00000134109",292.195335704708,444.272956505862,376.769247515874,449.838185469385,337.923277361735,799.938368282376
"ENSG00000134115",9.92896771812113,19.040269564537,1.18480895445244,6.51939399230993,7.83265874679519,7.35575511064254
